os	device_type	device_score	device_cpu	ip_domain	 Native视频发流切片时长 
Android	23129rn51x	73	", mt6765"	South_Asia	229648.1
Android	v2307	81	qualcomm 695	India	228749.8167
Android	cph2641	86	", qcom"	South_Asia	228259.6667
Android	s7	89		China_Mainland	228184.3333
Android	23117ra68g	78	helio g99	South_America	228063.5167
iOS	"iPhone14,5"	-1		East_Asia	227891.4
iOS	"iPhone17,4"	100		East_Asia	227871.1
Android	rmx3930	74	unisoc t612	South_Asia	226809
Android	ags6-w10	80		China_Mainland	226525.8167
Android	cph2721	83	qualcomm 6 Gen 1	India	225075.0167
Android	v2355	83	qualcomm 4 Gen 2	India	224912.2167
Android	pixel 2 xl	83	qualcomm 835	China_Mainland	224866.8167
Android	v2348	88	qualcomm 7 Gen 3	India	224785.6333
Android	v2351	81	mediatek mt6835  mt6835	India	224649.2333
Android	rmx3938	73	unisoc t612	South_Asia	224200.4
Android	v2511	87	qti sm7750  qcom	India	224187.5833
Android	sm-a556e	88	exynos 1480	South_America	223593.95
Android	moto g(20)	73	unisoc t700	South_America	223104.5167
Android	rmx3195	74	helio p65	South_Asia	222641.0333
Android	23100rn82l	74	helio p65	South_America	222251.0833
Android	sm-s928b	96	qualcomm 8 Gen 3	Europe	221949.9333
MAC	"Mac16,12"	89		China_Mainland	221681.4167
Android	v2043	75	helio p35	South_Asia	221680.3333
Android	2409brn2ca	75	helio p65	Middle_East	221533.1
Windows	82RV	50	12th Gen Intel(R) Core(TM) i5-1235U	China_Mainland	221489.1667
Android	220333qag	82	qualcomm 680	South_Asia	220922.1833
Android	rmx3261	69	Unisoc T610	South_Asia	220692.9667
iOS	"iPhone17,3"	-1		East_Asia	220498.25
iOS	"iPhone18,3"	-1		North_America	220415.9
Android	25028rn03a	76	spreadtrum ums9230e  serenity	Middle_East	220281.6
iOS	"iPhone14,4"	94		East_Asia	220276.3167
Android	brt-w09	75		China_Mainland	219825.3333
Android	sm-s938u	94	qti sm8750  qcom	North_America	219042.7833
Windows	950XFG	76	13th Gen Intel(R) Core(TM) i5-1340P	East_Asia	218915.45
Android	2404arn45a	75	helio p65	Middle_East	218718.2667
Android	22081281ac	93		China_Mainland	218301.1167
iOS	"iPhone14,8"	94		East_Asia	218264.2167
Android	v2344	65	", ums9230_6h10"	South_Asia	217508.2833
Android	220333qag	86	Qualcomm 680	South_Asia	217422.9333
Android	24117rn76g	78	helio g99	Middle_East	216572.65
iOS	"iPhone14,8"	94		Europe	216337.45
Android	moto g stylus (2022)	74	helio p65	North_America	216180.0167
Android	v2310	74	helio p65	South_Asia	216064.95
Android	sm-a155m	77	helio g99	South_America	214731.5667
Android	got-w29	93		China_Mainland	212678.4167
Android	cph2471	75	helio p35	South_Asia	212489.4333
Android	tecno kl4	76	spreadtrum t615  ums9230_kl4_go	South_America	212337.2167
iOS	"iPhone14,5"	94		Africa	211983.6333
Android	v2434	89		South_Asia	211794.95
Android	v2420	79	mediatek mt6835  mt6835	India	211575.8833
Android	b1	71	", rk30board"	China_Mainland	211030.3167
Android	infinix x6728	75	helio p65	South_Asia	210951.4167
Android	sm-a146b	84	exynos 1330	India	210932.5333
Android	pixel 3a xl	79	qualcomm 670	China_Mainland	209238.5333
Android	sm-a225m	74	helio g70	South_America	208944.2667
Android	24091rpadc	89		China_Mainland	207961.9167
Android	cph2179	73	"MT6765V/CB, mt6765"	South_Asia	207873.85
Android	sm-s918b	95	qualcomm 8 Gen 2	India	207701.6333
Android	v2120	73		South_Asia	207513.75
Android	cph2381	89	Qualcomm 695	India	207158.85
Android	tecno kl4	65		Middle_East	206981.2833
iOS	"iPad12,1"	90		North_America	206246.1167
Android	vivo 1820	64		South_Asia	206206.8167
Android	rmx3785	81	mediatek mt6835  mt6835	India	205803.15
iOS	"iPhone13,3"	92		South_America	205060.9833
Android	rmx3834	65		South_Asia	204353.4167
Android	sm-a325m	74	helio g70	South_America	203518.7167
Android	k69v1_64_k419	72	"MT6769, mt6768"	China_Mainland	203239.35
Android	cph2179	75	helio p35	India	202325.5
iOS	"iPhone17,2"	100		India	201711.3333
Android	cph2631	83	qualcomm 680	South_Asia	201524.3667
Android	infinix x6528	72	unisoc t606	South_Asia	200880.7167
Android	24117rn76g	75	", mt6789"	South_Asia	200863.0333
Android	v2432	79	mediatek mt6835  mt6835	India	200671.8667
iOS	"iPhone16,2"	98		Middle_East	200520.4
Android	sm-a165f	78	helio g99	Middle_East	199446.95
Android	sm-a065f	74	helio p65	Middle_East	199299.5333
Android	v2437	75	", mt6878"	India	199213.8167
Android	sm-a055m	74	helio p65	South_America	199052.8
Android	v2026	75	helio p35	South_Asia	198832.9167
Android	moto g64 5g	81	mediatek 7020	India	198583.9833
iOS	"iPhone17,3"	100		South_America	198471.1
Android	cph2585	94	qualcomm 8 Gen 2	India	198415.2333
Android	v2352	72		South_Asia	198200.8833
Android	v2334	84	mediatek 7200	India	198110.7
Android	v2111	75	helio p35	India	197812.6333
MAC	"MacBookAir10,1"	85		China_Mainland	197507.85
Android	cph2185	73	"MT6765V/CB, mt6765"	South_Asia	197409.3833
iOS	"iPhone16,1"	98		China_Mainland	197049.0833
Android	sm-a155f	78	helio g99	Middle_East	196869.3333
Android	sm-a176b	84	exynos 1330	India	195450.35
Android	sm-s938b	94	qti sm8750  qcom	India	195266.15
Android	sm-s921b	96	exynos 2400	India	195210.4167
Android	cph2603	82	mediatek 900	India	194700.3667
Android	tecno bg6	69	Unisoc T606	South_Asia	194622.1
MAC	"Mac16,8"	93		East_Asia	194308.95
iOS	"iPhone10,1"	86		China_Mainland	194069.1333
Android	23129raa4g	89	", qcom"	South_Asia	193519.6
Android	cph1909	75	helio p35	South_Asia	193133.2
iOS	"iPhone17,1"	100		China_Mainland	193006.8667
Android	moto g54 5g	79	mediatek 930	South_America	192986.3
Android	pixel 8a	83	google tensor g3  akita	East_Asia	192763.2
Android	23129rn51x	74	helio p35	South_Asia	192683.8
Android	v2130	81	mediatek 1080	India	192420
Android	tecno kl5	75	helio p65	South_Asia	191909.4833
iOS	"iPhone14,3"	94		South_Asia	191857.6833
iOS	"iPhone9,2"	84		China_Mainland	191747.8167
Android	v2311	76	mediatek 700	India	190874.4667
iOS	"iPad13,18"	92		China_Mainland	190430.9
iOS	"iPhone17,2"	100		Middle_East	190312.65
Android	moto g45 5g	83	qualcomm 695	India	189471.15
Android	v2333	72	", mt6768"	South_Asia	188489.5167
Android	sm-s911b	95	qualcomm 8 Gen 2	India	188113.2833
Android	v2507	74	unisoc t612	South_Asia	188016.0833
Android	v2026	73		South_Asia	187691.2167
iOS	"iPhone14,3"	94		Middle_East	187647.4667
iOS	"iPad13,9"	92		North_America	187633.65
Android	cph2553	78	mediatek 6020	India	187551.9667
Android	v2141	83	qualcomm 695	India	187550.3833
Android	sm-a165m	77	helio g99	South_America	187418.6667
Android	infinix x6532	69	", mt6768"	South_Asia	187356.2333
Android	tecno kl5	72	", mt6768"	South_Asia	186861.1
Android	23106rn0da	75	helio p65	Middle_East	186454.45
Android	funbook c1	69		China_Mainland	185970.9
Windows	21E3A0BHCD	76	12th Gen Intel(R) Core(TM) i5-1240P	China_Mainland	185776.0167
Android	vivo 1904	69		South_Asia	185361.2
Android	cph2751	81	mediatek mt6835  mt6835	India	185062.6667
Android	wgrr-w19	88		China_Mainland	184890.15
iOS	"iPhone15,3"	96		Middle_East	184664.35
Android	cph2401	86	mediatek 1300	India	183968.65
iOS	"iPhone17,2"	100		China_Mainland	183946.5333
Android	cph1909	73	"MT6765, mt6765"	South_Asia	183870.0667
iOS	"iPad13,18"	92		North_America	183619.1667
Android	sm-a166u	83	exynos 1330	North_America	183251.4
